Sector,Ticker,Risk_Score,Momentum_Score,Quality_Score,Size_Score,Growth_Score,PE,PE_ZScore,composite_z_score
industrials,FLS,0.3675828072938665,0.0758394274217727,-0.1362561609268168,0.0,-0.0911515322975536,26.203447,-0.2934830985535301,0.003325569302052709
industrials,NVT,-0.0248880881725562,0.0497948657658906,0.016402834547952,0.2273000688839246,-0.0342793488399148,42.730556,0.1148177274380289,0.07937029820023163
industrials,VRSK,0.2820606750658803,-0.2916961992912766,2.1915929065872617,0.2460013771079517,-0.084958554062602,29.930876,-0.2013972812744832,0.2656462010134762
industrials,CMI,-0.4538165784611866,0.0531830437424318,-0.2434644887715662,1.4494881445832617,-0.0867132312291716,32.89419,-0.1281888602570898,0.4797029361278935
industrials,JBHT,-0.4870392177567287,0.8136670305191477,-0.3369804289519311,0.2521307181507777,-0.069476108475223,38.600853,0.0127937651104483,0.02411966816817527
industrials,ST,-0.2321538642807244,0.2133376077661931,-0.0944099160431528,-1.0420600321389393,-0.0843392562391069,77.15,0.965147171950691,-0.47550358067577214
industrials,FTV,-0.8018812265567584,-0.1106546369713851,0.0797562259538824,-0.0934905694797643,-0.0813459834255469,31.0,-0.174984663539137,-0.16048196472128382
industrials,ODFL,-0.4876367877182961,0.1486025017503565,1.2261895392876896,0.7839843861978638,-0.0787655758276504,40.796154,0.0670284901068222,0.3326474292924982
industrials,VRT,0.9563612963926476,0.173714498593883,0.4635705969218335,1.5085977679537117,-0.0646249421911776,51.507465,0.3316505198128328,0.7410707994515792
industrials,CLH,-0.4429624642164659,0.5951229685334981,-0.0673984498874348,-0.1707233304065183,-0.0772173312689125,38.484627,0.0099224116389068,-0.13050614688904516
industrials,JCI,-0.7350211446666727,0.1968635447553056,-0.1428847823353509,1.4640937277669337,-0.0799009551707249,41.31268,0.079789221124335,0.4683087227786793
industrials,SSD,-0.660463794926956,-0.2550413584556567,0.5024912122284975,0.0,-0.0829974442882007,20.450981,-0.4355972831509912,-0.07863643096326399
industrials,ALLE,-0.21732302097774,0.4252416674963354,0.5380856391956913,-0.3749832471981645,-0.0763916008375857,20.629095,-0.4311969918888799,-0.14373715846150395
industrials,FBIN,0.8555002862770954,-0.1447867877133201,-0.3274931929399238,-1.174838793949988,-0.0916676138171329,21.893333,-0.3999640993333873,-0.43480410714309925
industrials,OSK,-0.0375955159460416,-0.115363196208661,-0.537783465999429,-0.7833141662099599,-0.0825845790725372,16.312716,-0.5378327689623306,-0.3964657956848634
industrials,GWW,-0.8826721072069784,0.4747647037991599,0.7345552157970737,0.0,-0.079075224739398,36.499077,-0.0391304326938522,-0.05572429084617515
industrials,CNH,0.7058440728838676,-0.7171240395733595,-1.0256986942083612,-0.4252862972120738,-0.0896032877388157,32.03125,-0.149507719761263,-0.2297843332536291
industrials,SITE,0.385619146817084,-0.8541199181655568,-0.4901892549945733,-1.5192056051073637,-0.0846489051508544,26.01653,-0.2981008671839582,-0.6683276108793191
industrials,ALSN,-0.0358064860703745,-0.2206324221860612,0.4390123328106975,-0.7081506917927495,-0.003211241361241,17.813375,-0.5007591156554112,-0.2636647160927297
industrials,OTIS,-0.494571326660142,-0.4618784787124474,0.4067767002275356,0.3207603431366864,-0.0819652812490421,18.401533,-0.4862287221538288,0.054375894281297174
industrials,WAB,-0.8729677930403931,0.5559309525265077,0.101934338912357,0.8885176701105705,-0.0714372182496244,39.358593,0.0315136675378385,0.2577475740512647
industrials,FIX,0.2565483404742996,1.0820618751444235,0.3887048118886452,1.0968140506054014,-0.0884679083957413,41.840588,0.09283114348641,0.5142604968549987
industrials,KBR,0.455204318178722,-0.200144806648149,-0.5645768725433322,-1.409553154291458,-0.0878486105722461,11.027109,-0.6684132415644516,-0.5966919233796968
industrials,SNA,-1.2132613158432648,0.3775027237855073,0.5992122136968497,0.073214086310969,-0.0851649866704337,20.875381,-0.4251125171492169,-0.08269632491096413
industrials,AMTM,0.6358411564876721,2.8854547359569884,-0.849667476391348,-1.2527108237106055,-0.0899129366505633,36.393444,-0.0417400869989073,-0.41120019125243756
industrials,FCN,-0.3148451183762932,-0.1750814347880764,-0.3706743916422,-1.4558187560805984,-0.0840296073273593,19.84807,-0.4504921482662026,-0.6892542169647922
industrials,WM,-0.349545378658388,-0.0654047195640244,0.3257121164562769,1.4826990066288062,-0.0853714192782655,59.461945,0.5281652735022612,0.5467358127407882
industrials,CPRT,-0.0909112086710143,-0.6799293172552239,1.3689294984038554,0.3054014928058708,-0.0873325290526668,18.314466,-0.4883797050036792,0.16265139620175184
industrials,KEX,-0.5497765916257275,-0.17949429961659,0.0350043288067753,-1.0031201986677354,-0.0814491997294628,20.331783,-0.4385420596304433,-0.5022121576779079
industrials,LUV,0.2984425793060845,0.1356756154215706,-0.8789732450858809,0.1078491807970216,-0.0725725975926988,28.10625,-0.2464745118370502,-0.011965907265927434
industrials,GTES,-0.1195464899128684,-0.0966296592399753,-0.1881173375094682,-0.99335182816035,-0.0890872062192364,19.843971,-0.4505934137135195,-0.46420957041309974
industrials,PCAR,-0.688019619146169,0.5810936547984067,-0.4524242686886917,1.2302755432847947,-0.0889839899153206,27.93263,-0.2507637792103491,0.367458928680322
industrials,WSO,-0.2505457097875048,-1.1896024677017547,-0.2626771509237286,-0.4229922958709062,-0.0873325290526668,27.69024,-0.2567520036004764,-0.3001515509898547
industrials,CNM,0.3705455355628186,-0.7399171770581446,-0.3238019414901372,-0.8150355151339114,-0.0896032877388157,18.474789,-0.4844189388875093,-0.3711015217347668
industrials,SARO,-0.1295800507964413,0.0685427583939648,-0.4535477991440385,-0.6833816125248442,-0.0757723030140905,32.932583,-0.12724036444864,-0.3506916696854389
industrials,GE,-0.296266310320464,0.1293269093083968,0.1046916195828872,2.859760155694276,-0.0677214313086534,41.81998,0.0923220245944106,1.1027771758214717
industrials,AME,-1.019839541635022,0.2851624815500607,0.629526101131227,1.0052481018225303,-0.0778366290924077,36.23838,-0.0455709299661532,0.3161232049726607
industrials,PH,-0.6555647747439228,0.2183369752139238,0.4677358689062689,1.7812494266316534,-0.0785591432198187,35.58783,-0.0616427125355554,0.6554140639517917
industrials,WCC,-0.0034449758523901,0.3467631658408334,-0.6704320963595032,-0.1576815388754514,-0.0760819519258381,23.754494,-0.3539842746947721,-0.1307041829415622
industrials,CR,-0.4231106593608525,-0.0835434240974509,0.2297090961673158,0.0,-0.0630766976324397,37.318184,-0.0188944637367001,-0.058086820371722074
industrials,LHX,-0.4713520798812431,-0.734797840704586,-0.1842790945620983,0.9360526797393444,0.1066109060052338,28.014154,-0.2487497357053333,0.313624657194295
industrials,SWK,-0.1722252795878785,1.1344331986752416,-0.564638678997912,-0.3118616663961993,-0.0890872062192364,23.353086,-0.3639010252867613,-0.1771956639878342
industrials,GEV,0.0693865470669563,0.1906633613659113,-0.6792581074245647,2.521443375951759,-0.0668957008773266,28.165243,-0.2450170947759223,0.9505239302038071
industrials,PSN,1.1333385254086046,-0.9025116673378658,-0.8392144911889646,-1.3873811341101296,-0.0900161529544792,29.67114,-0.2078140371232976,-0.5579707940009387
industrials,CXT,0.6113294698492714,-0.078772732241399,-0.0461604535931732,-1.8315862747342413,-0.0715404345535402,23.295965,-0.365312194746675,-0.6953656882025255
industrials,LSTR,-0.3970430441995227,-0.5695147435000747,-0.611378683081349,-1.1658255809268687,-0.0708179204261292,45.277203,0.1777324255627237,-0.6130072867250063
